,ZONA,CANT_TON,CD_RUTA,LATITUD,LONGITUD,HORA_ENTREGA_PROM,REST,LCA,COQUIMBO,PTM,LAMPA
0,71,3.6,1,-33.0505254,-71.4011898,0.0,16.2,1,0,0,0
1,71,3.6,1,-33.0505254,-71.4011898,0.0,16.2,1,0,0,0
2,69,5.4,1,-32.7405167,-71.4874667,0.0,16.2,1,0,0,0
3,31,5.4,0,-29.9575295,-71.3387013,0.0,28.8,1,0,0,0
4,53,3.6,1,-32.868263,-70.6080795,0.0,16.2,1,0,0,0
5,70,1.8,0,-33.0447165,-71.4185557,0.0,28.8,1,0,0,0
6,77,14.4,0,-33.414423,-71.695593,0.0009,16.2,1,0,0,0
7,66,9.0,1,-33.0461771,-71.6093979,0.0008,9.0,1,0,0,0
8,67,9.0,0,-33.0199988,-71.5021182,0.0,28.8,1,0,0,0
9,63,1.8,1,-32.8477436,-71.1249656,0.0,28.8,1,0,0,0
10,71,10.8,1,-33.0578024,-71.3724103,0.0009,28.8,1,0,0,0
11,59,3.6,1,-32.879131,-71.2427293,0.0,16.2,1,0,0,0
12,42,28.8,0,-31.9116698,-71.5103173,0.0,28.8,1,0,0,0
13,46,9.0,1,-32.4288932,-71.0721048,0.0,16.2,1,0,0,0
14,61,16.2,0,-32.7909629,-71.1924168,0.0,28.8,1,0,0,0
15,70,3.6,1,-33.0586047,-71.4208716,0.0,16.2,1,0,0,0
16,54,12.6,1,-32.628461,-70.7177434,0.0,16.2,1,0,0,0
17,54,7.2,1,-32.628461,-70.7177434,0.0,28.8,1,0,0,0
18,79,14.4,0,-33.635833,-71.628056,0.0,16.2,1,0,0,0
19,54,12.6,1,-32.628461,-70.7177434,0.0,16.2,1,0,0,0
20,59,1.8,1,-32.8803027,-71.2497156,0.0,16.2,1,0,0,0
21,517,5.4,1,-32.683583,-71.2207241,0.0,16.2,1,0,0,0
22,71,3.6,1,-33.0586914,-71.3925687,0.0,28.8,1,0,0,0
23,71,1.8,1,-33.0586914,-71.3925687,0.0,28.8,1,0,0,0
24,59,14.4,0,-32.8934495,-71.2505442,0.0,16.2,1,0,0,0
25,59,14.4,0,-32.8934495,-71.2505442,0.0,16.2,1,0,0,0
26,163,13.8,0,-37.4659196,-72.3264248,0.0007,28.8,1,0,0,0
27,71,7.2,1,-33.0578024,-71.3724103,0.0,28.8,1,0,0,0
28,70,3.6,1,-33.0548193,-71.4274758,0.0,16.2,1,0,0,0
29,59,14.4,0,-32.8774205,-71.2438289,0.0,16.2,1,0,0,0
30,59,1.8,1,-32.8803027,-71.2497156,0.0,16.2,1,0,0,0
31,67,14.4,0,-33.0545042,-71.5579647,0.0009,16.2,1,0,0,0
32,53,14.4,1,-32.74874,-70.729703,0.0008,16.2,1,0,0,0
33,53,3.6,1,-32.7498105,-70.6917576,0.0,16.2,1,0,0,0
34,62,3.6,1,-32.7371076,-71.2169842,0.0,16.2,1,0,0,0
35,68,7.2,0,-32.7723101,-71.5333,0.0,16.2,1,0,0,0
36,67,14.4,0,-32.5040172,-71.0022311,0.0,28.8,1,0,0,0
37,67,1.8,1,-32.9985196,-71.4936085,0.0,9.0,1,0,0,0
38,70,16.2,0,-33.0447165,-71.4185557,0.0014,28.8,1,0,0,0
39,22,16.2,0,-27.3825774,-70.3171982,0.0,28.8,1,0,0,0
40,49,3.6,1,-32.8414145,-70.6006982,0.0,16.2,1,0,0,0
41,66,9.0,1,-33.0463507,-71.6095678,0.0,9.0,1,0,0,0
42,70,3.6,1,-33.0517145,-71.4573781,0.0,9.0,1,0,0,0
43,48,5.4,1,-32.47,-71.50999999999999,0.0,28.8,1,0,0,0
44,48,2.5,1,-32.47,-71.50999999999999,0.0,28.8,1,0,0,0
45,31,9.0,0,-30.009999999999998,-71.36999999999999,0.0,28.8,1,0,0,0
46,70,2.5,1,-34.45194444444444,-72.3488888888889,0.0,28.8,1,0,0,0
47,70,2.125,1,-34.45194444444444,-72.3488888888889,0.0,28.8,1,0,0,0
48,70,5.4,1,-34.45194444444444,-72.3488888888889,0.0,28.8,1,0,0,0
49,70,3.6,1,-34.45194444444444,-72.3488888888889,0.0,28.8,1,0,0,0
50,53,7.2,1,-32.75,-70.83,0.0,28.8,1,0,0,0
51,53,1.8,1,-32.75,-70.83,0.0,28.8,1,0,0,0
52,54,9.0,1,-32.730000000000004,-70.86,0.0,28.8,1,0,0,0
53,62,3.6,1,-32.76,-71.28,0.0,28.8,1,0,0,0
54,61,10.8,1,-32.79,-71.24000000000001,0.0,28.8,1,0,0,0
55,47,1.8,1,-32.580000000000005,-71.48,0.0,28.8,1,0,0,0
56,47,1.8,1,-32.580000000000005,-71.48,0.0,28.8,1,0,0,0
57,66,3.6,0,-33.05,-71.75999999999999,0.0,28.8,1,0,0,0
58,66,7.2,1,-33.05,-71.75999999999999,0.0,28.8,1,0,0,0
59,63,7.2,1,-32.855000000000004,-71.19,0.0,28.8,1,0,0,0
60,63,1.8,1,-32.855000000000004,-71.19,0.0,28.8,1,0,0,0
61,98,1.8,0,-34.59,-71.02,0.0008,28.8,1,0,0,0
62,163,15.0,1,-37.04,-72.36,0.0,28.8,1,0,0,0
63,64,14.4,0,-33.03,-71.36,0.0,16.2,1,0,0,0
64,64,3.6,1,-33.03,-71.36,0.0,16.2,1,0,0,0
65,78,14.4,1,-33.369166666666665,-71.66805555555555,0.0,16.2,1,0,0,0
66,102,5.4,1,-34.88,-71.42999999999999,0.0,28.8,1,0,0,0
67,67,2.25,1,-33.025,-71.515,0.0,28.8,1,0,0,0
68,45,5.4,1,-32.29,-70.95,0.0,28.8,1,0,0,0
69,59,1.8,1,-32.915,-71.39,0.0,28.8,1,0,0,0
70,57,3.6,1,-32.940000000000005,-71.02,0.0,28.8,1,0,0,0
71,71,10.8,1,-33.209999999999994,-71.44,0.0,28.8,1,0,0,0
72,71,3.6,1,-33.209999999999994,-71.44,0.0,28.8,1,0,0,0
73,71,3.6,1,-33.209999999999994,-71.44,0.0,28.8,1,0,0,0
74,71,10.8,1,-33.209999999999994,-71.44,0.0,28.8,1,0,0,0
75,71,7.2,1,-33.209999999999994,-71.44,0.0,28.8,1,0,0,0
76,69,3.6,1,-32.88,-71.53,0.0,16.2,1,0,0,0
77,65,5.4,1,-33.09,-71.17,0.0,28.8,1,0,0,0
78,65,5.4,1,-33.09,-71.17,0.0,28.8,1,0,0,0
79,44,10.8,1,-32.71888888888889,-71.81194444444445,0.0,28.8,1,0,0,0
80,56,9.0,1,-32.79,-70.86999999999999,0.0,16.2,1,0,0,0
